P-values	ampicillin*	amoxicillin-clavulanic_acid*	amikacin*	cefazolin*	cefalotin*	ciprofloxacin	cefixime*	ceftazidime	gentamicin_C	meropenem	piperacillin-tazobactam	tobramycin*	trimethoprim-sulfamethoxazole*	cefoxitin*	ceftriaxone*
Type A NfxB	0.594	0.594	0.052	0.149	0.942	0	0.698	0	0.621	nan	nan	0	0.15	0.594	0.594
mexM	0.64	0.64	0.032	0.109	0.27	0	0.284	0	0.59	nan	nan	0	0.554	0.64	0.64
nalC	0.663	0.663	0	0.635	0.178	0	0.658	0	0.79	nan	nan	0	0.664	0.663	0.663
mexP	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
MexT	0.85	0.85	1	0.581	0.734	0	0.974	0	0.79	nan	nan	0	0.888	0.85	0.85
TriB	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
APH(3')-IIb	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
arnA	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
MexW	0.766	0.766	0.236	0.649	0.93	0	0.918	0	0.638	nan	nan	0	0.506	0.766	0.766
PDC-5	0.301	0.301	0.128	0.269	0.481	0	0.6	0	0.567	nan	nan	0	0.091	0.301	0.301
carA	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
Type B NfxB	0.568	0.568	0.765	0.86	0.459	0	0.823	0	0.623	nan	nan	0	0.212	0.568	0.568
PDC-8	0.272	0.272	0.978	0.071	0.19	0	0.195	0	0.705	nan	nan	0	0.169	0.272	0.272
MexZ	0.466	0.466	0.024	0.813	0.934	0	0.802	0	0.592	nan	nan	0.821	0.239	0.466	0.466
PDC-9	0.823	0.823	0.69	0.038	0.709	0	0.589	0	0.443	nan	nan	0	0.177	0.823	0.823
mdtF	0.764	0.764	0.167	0.969	0.798	0	0.763	0	0.698	nan	nan	0.937	0.427	0.764	0.764
mdtC	0.615	0.615	0.267	0.865	0.966	nan	0.962	nan	nan	nan	nan	0.834	0.424	0.615	0.615
APH(3'')-Ib	0.856	0.856	0.749	0.657	0.698	nan	0.956	0	nan	nan	nan	0.971	0.86	0.856	0.856
Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones	0.641	0.641	0.371	0.308	0.938	0	0.363	0	0.5	nan	nan	0.626	0.755	0.641	0.641
tet(C)	0.163	0.163	0.001	0.774	0.922	nan	0.931	0	nan	nan	nan	0.873	0.062	0.163	0.163
PDC-6	0.884	0.884	0.584	0.937	0.472	0	0.882	nan	0.502	nan	nan	0	0.733	0.884	0.884
MexB	0.5	0.5	0	0.355	0.991	0	0.521	nan	0.897	nan	nan	0.904	0.294	0.5	0.5
mdtH	0.919	0.919	0.888	0.532	0.729	nan	0.963	nan	nan	nan	nan	0.665	0.55	0.919	0.919
oqxB	0.833	0.833	0.851	0.619	0.996	nan	0.753	nan	nan	nan	nan	0.981	0.766	0.833	0.833
PDC-1	0.034	0.034	0.889	0	0.012	0	0.022	0	0.591	nan	nan	0	0.002	0.034	0.034
QnrB42	0.954	0.954	0.965	0.993	0.968	nan	0.846	nan	nan	nan	nan	0	0.73	0.954	0.954
acrD	0.678	0.678	0.609	0.634	0.865	0	0.744	0	nan	nan	nan	0	0.577	0.678	0.678
PDC-3	0.332	0.332	0.888	0.129	0.137	0	0.217	0	0.604	nan	nan	0	0.307	0.332	0.332
QnrD2	0.914	0.914	0.01	0.217	0.985	nan	0.773	nan	nan	nan	nan	0	0.425	0.914	0.914
sdiA	0.914	0.914	0.01	0.217	0.985	nan	0.773	nan	nan	nan	nan	0	0.425	0.914	0.914
patA	0.115	0.115	0.004	0.038	0.072	nan	0.127	nan	nan	nan	nan	0	0.048	0.115	0.115
Klebsiella pneumoniae OmpK37	0.914	0.914	0.01	0.217	0.985	nan	0.773	nan	nan	nan	nan	0	0.425	0.914	0.914
APH(6)-Id	0.647	0.647	0.04	0.81	0.586	nan	0.822	nan	nan	nan	nan	0	0.869	0.647	0.647
AAC(3)-IIb	0.934	0.934	0.378	0.763	0.89	nan	0.87	nan	nan	nan	nan	0	0.931	0.934	0.934
sul1	0.833	0.833	0.026	0.769	0.798	0	0.682	0	0.293	nan	nan	0	0.997	0.833	0.833
aadA6	0.402	0.402	0.748	0.929	0.798	0	0.761	0	0.388	nan	nan	0	0.461	0.402	0.402
clbA	0.997	0.997	0.99	0.683	nan	nan	0.999	nan	nan	nan	nan	0.791	0.743	0.997	0.997
Streptococcus agalactiae mprF	0.875	0.875	0.893	0.865	0.914	0	0.816	0	0.5	nan	nan	0.91	0.952	0.875	0.875
acrB	0.592	0.592	0.128	0.611	0.828	0	0.913	0	nan	nan	nan	0.81	0.619	0.592	0.592
cpxA	0.506	0.506	0.329	0.387	0.799	nan	0.774	0	nan	nan	nan	0.523	0.2	0.506	0.506
Escherichia coli emrE	0.506	0.506	0.329	0.387	0.799	nan	0.774	0	nan	nan	nan	0.523	0.2	0.506	0.506
CrpP	0.483	0.483	0.359	0.845	0.844	0	0.723	0	0.535	nan	nan	0.89	0.481	0.483	0.483
TEM-75	0.609	0.609	0.564	0.097	0.44	nan	0.415	nan	nan	nan	nan	0.851	0.297	0.609	0.609
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	0.905	0.905	0.887	0.841	0.953	0	0.846	nan	nan	nan	nan	0.947	0.936	0.905	0.905
lmrD	0.609	0.609	0.564	0.097	0.44	nan	0.415	nan	nan	nan	nan	0.851	0.297	0.609	0.609
PmrF	0.749	0.749	0.797	0.934	0.849	0	0.815	0	nan	nan	nan	0.888	0.825	0.749	0.749
spd	0.745	0.745	0.731	0.892	0.894	nan	0.841	0	nan	nan	nan	0.412	0.753	0.745	0.745
Pseudomonas aeruginosa parE conferring resistance to fluoroquinolones	0.872	0.872	0.817	0.643	0.825	nan	0.942	0	0.583	nan	nan	0.901	0.605	0.872	0.872
AAC(3)-VIIIa	0.805	0.805	0.822	0.746	0.927	nan	0.712	nan	nan	nan	nan	0.557	0.894	0.805	0.805
adeL	0.805	0.805	0.822	0.746	0.927	nan	0.712	nan	nan	nan	nan	0.557	0.894	0.805	0.805
smeF	0.805	0.805	0.822	0.746	0.927	nan	0.712	nan	nan	nan	nan	0.557	0.894	0.805	0.805
Staphylococcus mupA conferring resistance to mupirocin	0.805	0.805	0.822	0.746	0.927	nan	0.712	nan	nan	nan	nan	0.557	0.894	0.805	0.805
mel	0.805	0.805	0.822	0.746	0.927	nan	0.712	nan	nan	nan	nan	0.557	0.894	0.805	0.805
fexA	0.877	0.877	0.752	0.754	0.866	nan	0.978	nan	nan	nan	nan	0.739	0.657	0.877	0.877
emrB	0.898	0.898	0.789	0.848	0.927	nan	0.984	0	0.528	nan	nan	0.949	0.753	0.898	0.898
OXA-54	0.424	0.424	0.373	0.32	0.903	nan	0.62	nan	nan	nan	nan	0	0.191	0.424	0.424
mdtA	0.737	0.737	0.907	0.355	0.824	nan	0.695	0	0.869	nan	nan	0	0.466	0.737	0.737
mdtB	0.62	0.62	0.321	0.925	0.659	0	0.799	0	0.685	nan	nan	0	0.763	0.62	0.62
baeS	0.334	0.334	0.058	0.868	0.852	nan	0.903	0	0.786	nan	nan	0	0.274	0.334	0.334
vanSE	0.94	0.94	0.866	0.984	0.967	0.944	0.995	nan	nan	nan	nan	0.664	0.933	0.94	0.94
dfrB3	0.94	0.94	0.866	0.984	0.967	0.944	0.995	nan	nan	nan	nan	0.664	0.933	0.94	0.94
aadA3	0.152	0.152	0.006	0.965	0.752	nan	0.745	0	nan	nan	nan	0	0.096	0.152	0.152
ramA	0.136	0.136	0.001	0.667	0.599	nan	0.663	nan	nan	nan	nan	0	0.057	0.136	0.136
tetT	0.902	0.902	0.164	0.224	0.539	nan	0.734	nan	nan	nan	nan	0	0.701	0.902	0.902
baeR	0.33	0.33	0.074	0.649	0.913	nan	0.741	0	0.869	nan	nan	0	0.182	0.33	0.33
CRP	0.33	0.33	0.074	0.649	0.913	nan	0.741	0	0.869	nan	nan	0	0.182	0.33	0.33
Escherichia coli acrA	0.33	0.33	0.074	0.649	0.913	nan	0.741	0	0.869	nan	nan	0	0.182	0.33	0.33
OKP-A-4	0.746	0.746	0	0.724	0.572	nan	0.899	nan	nan	nan	nan	0	0.993	0.746	0.746
AcrS	0.687	0.687	0	0.459	0.572	0	0.654	nan	nan	nan	nan	0	0.549	0.687	0.687
vanD	0.922	0.922	0.937	0.638	nan	nan	0.943	nan	nan	nan	nan	0.653	0.664	0.922	0.922
Erm(38)	0.922	0.922	0.937	0.638	nan	nan	0.943	nan	nan	nan	nan	0.653	0.664	0.922	0.922
tetW	0.922	0.922	0.937	0.638	nan	nan	0.943	nan	nan	nan	nan	0.653	0.664	0.922	0.922
arr-3	0.192	0.192	0.023	0.816	0.852	nan	0.842	nan	nan	nan	nan	0	0.155	0.192	0.192
Bacillus subtilis mprF	0.192	0.192	0.023	0.816	0.852	nan	0.842	nan	nan	nan	nan	0	0.155	0.192	0.192
mdtO	0.743	0.743	0.821	0.67	nan	nan	0.798	nan	nan	nan	nan	0.872	0.629	0.743	0.743
MCR-3	0.743	0.743	0.821	0.67	nan	nan	0.798	nan	nan	nan	nan	0.872	0.629	0.743	0.743
Escherichia coli ampC beta-lactamase	0.791	0.791	0.704	0.629	0.991	0	0.793	0	nan	nan	nan	0	0.665	0.791	0.791
H-NS	0.791	0.791	0.704	0.629	0.991	0	0.793	0	nan	nan	nan	0	0.665	0.791	0.791
AcrF	0.906	0.906	0.784	0.954	0.952	nan	0.995	nan	nan	nan	nan	0.924	0.909	0.906	0.906
Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin	0.416	0.416	0.037	0.043	0.171	nan	0.347	nan	nan	nan	nan	0	0.106	0.416	0.416
PER-5	0.573	0.573	0.128	0.831	0.927	0	0.999	0	nan	nan	nan	0	0.525	0.573	0.573
rmtB	0.793	0.793	0.864	0.771	0.978	nan	0.834	0	0.528	nan	nan	0.49	0.734	0.793	0.793
otr(A)	0.495	0.495	0.031	0.796	0.934	nan	0.799	nan	nan	nan	nan	0.637	0.272	0.495	0.495
Salmonella enterica cmlA	0.93	0.93	0.147	0.51	nan	0	0.965	0	0.307	nan	nan	0	0.541	0.93	0.93
catIII	0.663	0.663	0	0.859	nan	nan	0.765	nan	nan	nan	nan	0	0.705	0.663	0.663
armA	0.999	0.999	0.322	0.854	0.757	nan	0.653	nan	nan	nan	nan	0.779	0.661	0.999	0.999
SLB-1	0.665	0.665	0.151	0.047	0.176	0	0.214	nan	0.591	nan	nan	0	0.519	0.665	0.665
novA	0.191	0.191	0.006	0.834	0.98	nan	0.901	nan	nan	nan	nan	0.755	0.062	0.191	0.191
evgS	0.758	0.758	0.497	0.95	0.843	0	0.934	nan	0.64	nan	nan	0	0.547	0.758	0.758
myrA	0.297	0.297	0	0.606	0.917	0	0.841	nan	0.897	nan	nan	0.99	nan	0.297	0.297
ceoB	0.577	0.577	0.489	0.084	0.22	nan	0.359	nan	nan	nan	nan	0.79	0.302	0.577	0.577
Escherichia coli mdfA	0.925	0.925	0.931	0.979	0.947	nan	0.949	nan	nan	nan	nan	0.967	0.976	0.925	0.925
